=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_134108.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Água De Coco Maguary Puro Coco Com Maracujá Tp 200ml                             | R$ 1.99
 ✅ Água Mineral Bioleve Sem Gás Pet 510ml                                           | R$ 1.89

   [NAVEGACAO] Acessando Página: 7 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=7
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Espumante Saint Germain Demi Branco 660ml                                        | R$ 30.90
 ✅ Espumante Aurora Proced Brut Chardonnay 750ml                                    | R$ 57.90
 ✅ Refrigerante Schweppes Cítrus Lata 350ml                                         | R$ 3.79
 ✅ Refrigerante Taubaiana Pet 2 L                                                   | R$ 4.75
 ✅ Refrigerante Conti Cola Pet 2 L                                                  | R$ 5.99
 ✅ Refrigerante Pepsi Black Zero Pet 2 L                                            | R$ 8.49
 ✅ Refrigerante Coca Cola + Fanta Guaraná Pet 2 L                                   | R$ 16.72
 ✅ Refrigerante Coca Cola Zero Pet 1,5 L                                            | R$ 8.65
 ✅ Refrigerante Sukita Uva Pet 2 L                                                  | R$ 5.99
 ✅ Refrigerante Sprite Lemon Fresh Pet 510ml                                        | R$ 3.19
 ✅ Refrigerante Antarctica Guaraná Zero Pet 1,5 L                                   | R$ 6.99
 ✅ Refrigerante Coca-cola Zero Garrafa 250ml                                        | R$ 3.79
 ✅ Refrigerante Sprite Lata 220ml                                                   | R$ 2.79
 ✅ Água Saborizada Crystal Limão 510ml                                              | R$ 2.99
 ✅ Refrigerante Sprite Lata 350ml                                                   | R$ 3.39
 ✅ Refrigerante H2oh Limoneto Pet 1,5 L                                             | R$ 8.49
 ✅ Refrigerante Sprite Pet 2 L                                                      | R$ 7.49
 ✅ Refrigerante Itubaina Retrô Original 355ml                                       | R$ 3.49
 ✅ Água Tônica Petra Original 350ml                                                 | R$ 3.39
 ✅ Refrigerante Antarctica Guaraná Zero Pet 2 L                                     | R$ 9.29
 ✅ Refrigerante Coca Cola + Fanta Laranja Pet 2 L                                   | R$ 17.69
 ✅ Refrigerante Pepsi Twist Lata 350ml                                              | R$ 3.19
 ✅ Refrigerante Antarctica Guaraná Pet 600ml                                        | R$ 4.89
 ✅ Refrigerante Fanta Guaraná Pet 2 L                                               | R$ 7.79
 ✅ Refrigerante Sukita Uva Lata 350ml                                               | R$ 3.19
 ✅ Refrigerante Coca Cola Pet 3 L                                                   | R$ 14.49
 ✅ Refrigerante Soda Limonada Zero Pet 2 L                                          | R$ 8.29
 ✅ Refrigerante Kuat Lata 220ml                                                     | R$ 2.59
 ✅ Refrigerante Kuat Pet 2 L                                                        | R$ 4.49
