=======================================================
INÍCIO DO POC DE EXTRAÇÃO: https://www.supercentralonline.com.br/
ATENÇÃO: Extraindo APENAS produtos com PREÇO.
ARQUIVO DE LOG DE DETALHES: Extracao\Extracao_20251027_141715.txt
=======================================================
Iniciando navegação...
🔄 Tentando tratar o modal de seleção de loja/cidade...
⚠️ Modal de seleção de loja não encontrado ou não apareceu. Prosseguindo.
🔄 Tentando expandir o menu de departamentos...
✅ Menu de departamentos expandido.
✅ Encontrados 14 caminhos de departamento únicos.


=======================================================
>>> INICIANDO DEPTO: BEBIDAS | Link: departamentos/bebidas <<<
 ✅ Bebida Mista Corote Canelinha 500ml                                              | R$ 4.89
 ✅ Bebida Mista Corote Ice Sex On The B 275ml                                       | R$ 5.99
 ✅ Bebida Mista Corote Ice Pink Lemonade 275ml                                      | R$ 5.99
 ✅ Gin Tônica Qn Amora Bluberry Long Neck 355ml                                     | R$ 7.69
 ✅ Cachaça Presidente 900ml                                                         | R$ 13.19
 ✅ Tequila José Cuervo Prata 750ml                                                  | R$ 129.90
 ✅ Saquê Sakai 750ml                                                                | R$ 23.90
 ✅ Tequila José Cuervo Prata Calavera 750ml                                         | R$ 99.00
 ✅ Tequila José Cuervo Ouro 750ml                                                   | R$ 129.90
 ✅ Gin Flowers Melancia Lata 269ml                                                  | R$ 6.35
 ✅ Gin Flowers Coco E Açaí Lata 269ml                                               | R$ 6.35
 ✅ Gin Seagers 980ml                                                                | R$ 40.90
 ✅ Gin Lários 700ml                                                                 | R$ 77.90
 ✅ Gin Flowers Morango Lata 269ml                                                   | R$ 6.35
 ✅ Gin Tanqueray 750ml                                                              | R$ 128.39
 ✅ Gin Flowers Tropical Lata 269ml                                                  | R$ 6.35
 ✅ Gin Tanqueray Long Neck 275ml                                                    | R$ 19.90
 ✅ Gin Lários Original 700ml                                                        | R$ 46.90
 ✅ Gin Tônica Askov Melancia 900ml                                                  | R$ 18.75
 ✅ Gin Tônica Askov Morango 900ml                                                   | R$ 18.75
 ✅ Gin Tônica Qn Melancia Long Neck 355ml                                           | R$ 7.69
 ✅ Gin Old Bridge London 900ml                                                      | R$ 35.90
 ✅ Gin Tônica Qn Frutas Vermelhas Long Neck 355ml                                   | R$ 7.69
 ✅ Gin Old Bridge Rosé 900ml                                                        | R$ 35.90
 ✅ Bebida À Base De Soja Ades Laranja Tp 200ml                                      | R$ 3.29
 ✅ Bebida À Base De Soja Ades Maçã Tp 1 L                                           | R$ 9.19
 ✅ Bebida À Base De Soja Ades Pêssego Tp 200ml                                      | R$ 3.29
 ✅ Bebida À Base De Soja Purity Pêssego Tp 1 L                                      | R$ 6.49

   [NAVEGACAO] Acessando Página: 10 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=10
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Gin Tônica Qn Melancia Long Neck 355ml                                           | R$ 7.69
 ✅ Gin Tônica Askov Morango 900ml                                                   | R$ 18.75
 ✅ Gin Tônica Askov Melancia 900ml                                                  | R$ 18.75
 ✅ Gin Lários Original 700ml                                                        | R$ 46.90
 ✅ Gin Tanqueray Long Neck 275ml                                                    | R$ 19.90
 ✅ Gin Flowers Tropical Lata 269ml                                                  | R$ 6.35
 ✅ Gin Tanqueray 750ml                                                              | R$ 128.39
 ✅ Gin Flowers Morango Lata 269ml                                                   | R$ 6.35
 ✅ Gin Lários 700ml                                                                 | R$ 77.90
 ✅ Gin Seagers 980ml                                                                | R$ 40.90
 ✅ Gin Flowers Coco E Açaí Lata 269ml                                               | R$ 6.35
 ✅ Gin Flowers Melancia Lata 269ml                                                  | R$ 6.35
 ✅ Tequila José Cuervo Ouro 750ml                                                   | R$ 129.90
 ✅ Tequila José Cuervo Prata Calavera 750ml                                         | R$ 99.00
 ✅ Saquê Sakai 750ml                                                                | R$ 23.90
 ✅ Tequila José Cuervo Prata 750ml                                                  | R$ 129.90
 ✅ Cachaça Presidente 900ml                                                         | R$ 13.19
 ✅ Aguardente Ypióca Com Palha Ouro 965ml                                           | R$ 49.90
 ✅ Bebida Mista Sauv Spritz Cítrico Lata 269ml                                      | R$ 12.79
 ✅ Vinho Nacional Frisante Donnatella Demi Sec 660ml                                | R$ 33.90
 ✅ Vinho Nacional Góes Tradição Bordô Tinto Suave 1 L                               | R$ 21.90
 ✅ Kit Vinho Nacional Frisante Donnatella Branco Suave 660ml + Taça                 | R$ 69.90
 ✅ Vinho Nacional Góes Tradição Rosado Licoroso 750ml                               | R$ 23.90
 ✅ Vinho Nacional Sauv Branco Sweet Lata 269ml                                      | R$ 14.99
 ✅ Vinho Nacional Sauv Rosé Suave Lata 269ml                                        | R$ 14.99
 ✅ Vinho Nacional Góes Tradição Bordô Tinto Seco 1 L                                | R$ 21.90
 ✅ Vinho Nacional Santa Colina Branco Suave Moscatel 750ml                          | R$ 39.90
 ✅ Vinho Chileno Três Medallas Merlot 750ml                                         | R$ 38.90
 ✅ Kit Vinho Nacional Frisante Donnatella Branco Demi Seco 660ml + Taça             | R$ 69.90
 ✅ Vinho Nacional Estilo Fino Meio Seco Tannat 750ml                                | R$ 39.90
 ✅ Vinho Nacional Estilo Fino Branco Seco Moscato 750ml                             | R$ 39.90
 ✅ Vinho Nacional Estilo Fino Tinto Meio Seco 750ml                                 | R$ 39.90
 ✅ Vinho Nacional Estilo Fino Branco Meio Seco 750ml                                | R$ 39.90
 ✅ Vinho Nacional Estilo Tinto Meio Seco Merlot 750ml                               | R$ 39.90
 ✅ Vinho Nacional Estilo Fino Rosé Meio Seco 750ml                                  | R$ 39.90
 ✅ Aguardente Terra Brazilis 750ml                                                  | R$ 32.90
 ✅ Aguardente Old Cesar 88 Tradicional 965ml                                        | R$ 19.90
 ✅ Aguardente Villa Velha 600ml                                                     | R$ 6.99
 ✅ Aguardente Chapéu De Palha 900ml                                                 | R$ 38.90
 ✅ Cachaça Sagatiba Pura 700ml                                                      | R$ 29.90

   [NAVEGACAO] Acessando Página: 11 | URL: https://www.supercentralonline.com.br/departamentos/bebidas?page=11
   [EXTRACAO] Encontrados 40 elementos de produto na página.
 ✅ Gin Tônica Qn Pitaya Long Neck 355ml                                             | R$ 7.69
 ✅ Aperitivo Arak Brun 700ml                                                        | R$ 49.90
 ✅ Qin Qn Melancia 900ml                                                            | R$ 21.90
 ✅ Qin Qn Maçã Verde 900ml                                                          | R$ 21.90
 ✅ Qin Qn Frutas Tropicais 900ml                                                    | R$ 21.90
 ✅ Qin Qn Strawerry 900ml                                                           | R$ 21.90
 ✅ Gin Eternity Maça Verde 900ml                                                    | R$ 27.90
 ✅ Gin Eternity Tropical 900ml                                                      | R$ 27.90
 ✅ Gin Tônica Askov Maçã Verde 900ml                                                | R$ 18.75
 ✅ Gin Tônica Qn Maçã Verde Long Neck 355ml                                         | R$ 7.69
 ✅ Bebida À Base De Soja Ades Abacaxi Tp 1 L                                        | R$ 9.19
 ✅ Bebida À Base De Soja Ades Laranja Tp 200ml                                      | R$ 3.29
 ✅ Bebida À Base De Soja Ades Pêssego Tp 200ml                                      | R$ 3.29
 ✅ Bebida À Base De Soja Ades Maçã Tp 1 L                                           | R$ 9.19
 ✅ Bebida À Base De Soja Purity Pêssego Tp 1 L                                      | R$ 6.49
 ✅ Bebida À Base De Soja Ades Abacaxi Tp 200ml                                      | R$ 3.29
 ✅ Liete De Amêndoas Ades Seeds Original Tp 1 L                                     | R$ 15.29
 ✅ Bebida À Base De Soja Purity Original Tp 1 L                                     | R$ 8.99
 ✅ Bebida À Base De Soja Ades Uva Tp 200ml                                          | R$ 3.29
 ✅ Refresco Em Pó Fresh Laranja 15g                                                 | R$ 1.49
 ✅ Refresco Em Pó Trink Limonada Suiça 15g                                          | R$ 0.99
 ✅ Refresco Em Pó Trink Abacaxi/hortelã 15g                                         | R$ 0.99
 ✅ Refresco Em Pó Fresh Caju 15g                                                    | R$ 1.49
 ✅ Refresco Pó Tang Uva Intensa 18g                                                 | R$ 1.25
 ✅ Refresco Em Pó Fresh Uva 15g                                                     | R$ 1.49
 ✅ Refresco Em Pó Fresh Manga 15g                                                   | R$ 1.49
 ✅ Refresco Pó Tang Uva 18g                                                         | R$ 1.25
 ✅ Refresco Pó Tang Guaraná 18g                                                     | R$ 1.25
 ✅ Refresco Em Pó Fresh Abacaxi 15g                                                 | R$ 1.49
 ✅ Refresco Em Pó Fresh Maracujá 15g                                                | R$ 1.49
 ✅ Refresco Em Pó Fresh Limão 15g                                                   | R$ 1.49
 ✅ Refresco Em Pó Fresh Guaraná 15g                                                 | R$ 1.49
 ✅ Refresco Pó Tang Manga 18g                                                       | R$ 1.25
 ✅ Refresco Pó Tang Maracujá 18g                                                    | R$ 1.25
 ✅ Refresco Pó Tang Laranja 18g                                                     | R$ 1.25
 ✅ Refresco Em Pó Fresh Morango 15g                                                 | R$ 1.49
 ✅ Refresco Pó Tang Goiaba 18g                                                      | R$ 1.25
 ✅ Refresco Pó Tang Laranja/mamão 18g                                               | R$ 1.25
